Date,Close/Last,Volume,Open,High,Low
11/06/2025,$269.77,51204050,$267.89,$273.40,$267.89
11/05/2025,$270.14,43683070,$268.61,$271.70,$266.93
11/04/2025,$270.04,49274850,$268.325,$271.486,$267.615
11/03/2025,$269.05,50194580,$270.42,$270.85,$266.25
10/31/2025,$270.37,86167120,$276.99,$277.32,$269.16
10/30/2025,$271.40,69886530,$271.99,$274.14,$268.48
10/29/2025,$269.70,51086740,$269.275,$271.41,$267.11
10/28/2025,$269.00,41534760,$268.985,$269.89,$268.15
10/27/2025,$268.81,44888150,$264.88,$269.12,$264.6501
10/24/2025,$262.82,38253720,$261.19,$264.13,$259.18
10/23/2025,$259.58,32754940,$259.94,$260.62,$258.0101
10/22/2025,$258.45,45015250,$262.65,$262.85,$255.43
10/21/2025,$262.77,46695950,$261.88,$265.29,$261.83
10/20/2025,$262.24,90483030,$255.885,$264.375,$255.63
10/17/2025,$252.29,49146960,$248.02,$253.38,$247.27
10/16/2025,$247.45,39776970,$248.25,$249.04,$245.13
10/15/2025,$249.34,33893610,$249.485,$251.82,$247.47
10/14/2025,$247.77,35477990,$246.60,$248.845,$244.70
10/13/2025,$247.66,38142940,$249.38,$249.69,$245.56
10/10/2025,$245.27,61999100,$254.94,$256.38,$244.00
10/09/2025,$254.04,38322010,$257.805,$258.00,$253.14
10/08/2025,$258.06,36496900,$256.52,$258.52,$256.11
10/07/2025,$256.48,31955780,$256.805,$257.40,$255.43
10/06/2025,$256.69,44664120,$257.99,$259.07,$255.05
10/03/2025,$258.02,49155610,$254.665,$259.24,$253.95
10/02/2025,$257.13,42630240,$256.575,$258.18,$254.15
10/01/2025,$255.45,48713940,$255.04,$258.79,$254.93
09/30/2025,$254.63,37704260,$254.855,$255.919,$253.11
09/29/2025,$254.43,40127690,$254.56,$255.00,$253.01
09/26/2025,$255.46,46076260,$254.095,$257.60,$253.78
09/25/2025,$256.87,55202080,$253.205,$257.17,$251.712
09/24/2025,$252.31,42303710,$255.22,$255.74,$251.04
09/23/2025,$254.43,60275190,$255.875,$257.34,$253.58
09/22/2025,$256.08,105517400,$248.30,$256.64,$248.12
09/19/2025,$245.50,163741300,$241.225,$246.30,$240.2106
09/18/2025,$237.88,44249580,$239.97,$241.20,$236.65
09/17/2025,$238.99,46508020,$238.97,$240.10,$237.7301
09/16/2025,$238.15,63421100,$237.175,$241.22,$236.3235
09/15/2025,$236.70,42699520,$237.00,$238.19,$235.03
09/12/2025,$234.07,55824220,$229.22,$234.51,$229.02
09/11/2025,$230.03,50208580,$226.875,$230.45,$226.65
09/10/2025,$226.79,83440810,$232.185,$232.42,$225.95
09/09/2025,$234.35,66313920,$237.00,$238.7805,$233.36
09/08/2025,$237.88,48999500,$239.30,$240.15,$236.34
09/05/2025,$239.69,54870400,$239.995,$241.32,$238.4901
09/04/2025,$239.78,47549430,$238.45,$239.8999,$236.74
09/03/2025,$238.47,66427840,$237.21,$238.85,$234.36
09/02/2025,$229.72,44075640,$229.25,$230.85,$226.97
08/29/2025,$232.14,39418440,$232.51,$233.38,$231.37
08/28/2025,$232.56,38074700,$230.82,$233.41,$229.335
08/27/2025,$230.49,31259510,$228.61,$230.90,$228.26
08/26/2025,$229.31,54575110,$226.87,$229.49,$224.69
08/25/2025,$227.16,30983130,$226.48,$229.30,$226.23
08/22/2025,$227.76,42477810,$226.17,$229.09,$225.41
