Date,Close/Last,Volume,Open,High,Low
11/06/2025,$327.35,3888696,$333.00,$333.20,$324.55
11/05/2025,$335.53,2646694,$332.61,$336.84,$331.24
11/04/2025,$335.35,3694266,$335.02,$340.55,$332.81
11/03/2025,$337.47,3916593,$340.31,$342.46,$332.88
10/31/2025,$340.31,3763381,$338.70,$341.26,$336.80
10/30/2025,$339.24,4373224,$338.20,$344.6951,$333.10
10/29/2025,$337.86,6746464,$355.515,$355.515,$337.05
10/28/2025,$359.91,3005594,$360.00,$363.70,$357.80
10/27/2025,$357.80,2828152,$355.57,$358.56,$352.4135
10/24/2025,$353.52,2016850,$357.21,$358.10,$353.29
10/23/2025,$354.12,2408077,$352.51,$354.35,$348.71
10/22/2025,$354.09,3436003,$355.48,$360.19,$352.8701
10/21/2025,$357.55,4389672,$343.59,$358.37,$343.32
10/20/2025,$343.40,3903166,$334.64,$344.20,$334.25
10/17/2025,$333.26,4035035,$327.745,$335.10,$327.70
10/16/2025,$329.23,4570870,$333.86,$336.65,$327.50
10/15/2025,$330.63,3929948,$335.42,$335.60,$329.205
10/14/2025,$335.94,3036889,$335.22,$338.82,$332.72
10/13/2025,$339.32,3020060,$339.25,$340.2765,$335.61
10/10/2025,$337.51,4282397,$347.91,$348.72,$336.94
10/09/2025,$347.47,2895504,$349.77,$350.60,$344.30
10/08/2025,$348.77,3285027,$350.00,$354.05,$347.52
10/07/2025,$348.31,3275506,$352.59,$353.33,$344.24
10/06/2025,$350.14,5340202,$346.93,$357.34,$342.04
10/03/2025,$346.74,3122111,$352.00,$352.5926,$346.305
10/02/2025,$351.48,3955434,$343.76,$351.73,$342.42
10/01/2025,$343.72,6505709,$347.16,$349.8299,$340.05
09/30/2025,$352.75,5360695,$360.54,$362.00,$349.9024
09/29/2025,$359.42,4075860,$362.04,$363.17,$358.80
09/26/2025,$360.37,3072990,$353.71,$360.715,$352.775
09/25/2025,$354.16,3336731,$351.91,$357.00,$351.50
09/24/2025,$353.27,6140007,$355.595,$355.595,$347.80
09/23/2025,$361.78,3831134,$364.175,$368.73,$361.295
09/22/2025,$364.08,4709584,$364.16,$365.38,$359.36
09/19/2025,$365.90,7693030,$368.94,$370.31,$362.54
09/18/2025,$367.46,4752377,$366.86,$370.86,$365.85
09/17/2025,$362.07,6449922,$353.18,$365.00,$353.18
09/16/2025,$352.73,6696990,$350.155,$356.94,$348.3173
09/15/2025,$347.10,6768570,$350.50,$358.00,$345.05
09/12/2025,$349.36,14146620,$361.10,$366.50,$341.61
09/11/2025,$350.55,11804180,$354.685,$355.25,$347.16
09/10/2025,$350.16,4552514,$356.29,$359.19,$348.12
09/09/2025,$354.06,4324857,$362.75,$362.75,$353.03
09/08/2025,$358.66,5043305,$348.855,$358.82,$343.59
09/05/2025,$348.97,4662587,$345.805,$354.67,$345.1013
09/04/2025,$344.31,4918293,$342.24,$344.405,$331.50
09/03/2025,$348.50,3035328,$345.72,$348.51,$343.36
09/02/2025,$345.63,4229423,$350.24,$352.7131,$341.28
08/29/2025,$356.70,2639259,$353.995,$357.25,$352.455
08/28/2025,$353.96,3803095,$357.63,$358.26,$349.11
08/27/2025,$356.35,2353776,$355.98,$360.37,$355.16
08/26/2025,$354.91,4067395,$363.03,$363.23,$353.695
08/25/2025,$363.21,2259516,$362.56,$364.65,$361.40
08/22/2025,$362.09,3058636,$355.80,$362.65,$354.00
08/21/2025,$353.43,2363230,$349.91,$353.82,$347.00
08/20/2025,$353.43,3727897,$361.68,$363.00,$353.20
08/19/2025,$361.03,2808040,$359.215,$364.24,$358.12
08/18/2025,$357.24,2922973,$355.68,$358.39,$353.00
08/15/2025,$354.85,3718652,$348.33,$357.29,$348.00
08/14/2025,$348.58,3745646,$349.50,$351.5599,$346.10
08/13/2025,$351.07,4375105,$339.54,$351.76,$337.55
08/12/2025,$338.43,3572414,$333.52,$338.76,$330.04
08/11/2025,$333.65,4366242,$334.53,$343.4035,$332.465
08/08/2025,$341.05,3507764,$338.675,$341.5684,$336.37
08/07/2025,$338.27,4661824,$344.04,$347.38,$332.65
08/06/2025,$345.62,3347165,$341.65,$345.66,$339.19
08/05/2025,$338.74,3908970,$339.305,$342.735,$337.35
08/04/2025,$338.85,6449344,$351.16,$351.21,$338.04
08/01/2025,$347.80,4307890,$355.95,$356.29,$347.46
07/31/2025,$357.69,4513089,$362.26,$362.50,$354.27
07/30/2025,$364.00,3295204,$370.68,$370.72,$363.48
07/29/2025,$370.70,4234200,$370.45,$376.16,$369.7101
07/28/2025,$369.47,2984225,$371.03,$372.59,$368.72
07/25/2025,$370.74,2053161,$372.31,$372.405,$369.51
07/24/2025,$371.69,2692132,$371.90,$375.9974,$370.61
07/23/2025,$372.46,1994599,$373.49,$373.99,$369.26
07/22/2025,$372.87,2448998,$368.00,$374.50,$368.00
07/21/2025,$367.68,2770433,$366.49,$368.28,$363.13
07/18/2025,$365.79,2459234,$367.065,$367.79,$364.00
07/17/2025,$366.45,3340455,$360.60,$366.96,$359.28
07/16/2025,$361.77,3592883,$364.585,$365.5524,$358.71
07/15/2025,$364.18,2550992,$367.00,$368.32,$363.88
07/14/2025,$366.99,2898705,$363.185,$367.68,$360.18
07/11/2025,$363.35,3548721,$368.00,$371.15,$362.70
07/10/2025,$371.43,4023925,$371.99,$373.50,$365.51
07/09/2025,$373.38,4726562,$383.50,$384.7451,$370.91
07/08/2025,$382.24,3708199,$378.50,$386.6011,$377.18
07/07/2025,$376.93,3545108,$378.90,$382.22,$375.52
07/03/2025,$379.31,2863680,$378.00,$383.20,$377.80
07/02/2025,$378.47,6912202,$384.64,$386.88,$372.73
07/01/2025,$392.10,4516381,$385.10,$392.58,$381.5172
06/30/2025,$386.88,4645498,$387.30,$390.98,$384.63
