Date,Close/Last,Volume,Open,High,Low
11/06/2025,$2.60,23689080,$2.52,$2.6399,$2.46
11/05/2025,$2.50,24288170,$2.53,$2.56,$2.50
11/04/2025,$2.51,18963490,$2.55,$2.61,$2.51
11/03/2025,$2.58,24246460,$2.59,$2.64,$2.52
10/31/2025,$2.59,24480040,$2.55,$2.60,$2.49
10/30/2025,$2.54,31081550,$2.65,$2.66,$2.52
10/29/2025,$2.66,30893980,$2.70,$2.72,$2.65
10/28/2025,$2.72,25078690,$2.71,$2.73,$2.68
10/27/2025,$2.70,23305830,$2.695,$2.75,$2.66
10/24/2025,$2.69,35154460,$2.76,$2.77,$2.62
10/23/2025,$2.73,32674600,$2.76,$2.82,$2.72
10/22/2025,$2.75,35125980,$2.87,$2.8989,$2.72
10/21/2025,$2.89,34173260,$2.76,$2.92,$2.73
10/20/2025,$2.77,23659210,$2.78,$2.80,$2.72
10/17/2025,$2.74,23037680,$2.75,$2.81,$2.71
10/16/2025,$2.75,57914860,$2.83,$2.9799,$2.74
10/15/2025,$2.82,25087160,$2.86,$2.91,$2.82
10/14/2025,$2.83,18932660,$2.85,$2.90,$2.82
10/13/2025,$2.87,25035760,$2.92,$2.98,$2.85
10/10/2025,$2.95,26872680,$2.93,$3.00,$2.88
10/09/2025,$2.93,19120320,$2.84,$2.955,$2.81
10/08/2025,$2.84,16041560,$2.835,$2.88,$2.79
10/07/2025,$2.84,20116070,$2.93,$2.93,$2.81
10/06/2025,$2.90,21733930,$3.08,$3.08,$2.90
10/03/2025,$3.06,17660880,$3.13,$3.18,$3.035
10/02/2025,$3.15,23383440,$2.99,$3.17,$2.93
10/01/2025,$2.95,19091700,$2.91,$3.04,$2.90
09/30/2025,$2.90,14271440,$2.99,$3.01,$2.88
09/29/2025,$3.00,23002190,$2.90,$3.07,$2.90
09/26/2025,$2.89,12286040,$2.83,$2.91,$2.80
09/25/2025,$2.83,12968570,$2.88,$2.89,$2.81
09/24/2025,$2.92,12231260,$2.94,$2.96,$2.87
09/23/2025,$2.96,12616250,$2.98,$3.00,$2.92
09/22/2025,$3.00,19782920,$2.95,$3.04,$2.94
09/19/2025,$3.01,56986250,$2.84,$3.08,$2.83
