Date,Close/Last,Volume,Open,High,Low
11/06/2025,$365.73,2354626,$366.04,$369.26,$362.4101
11/05/2025,$365.80,2195993,$359.69,$367.8151,$356.41
11/04/2025,$360.49,1887826,$359.32,$362.54,$356.85
11/03/2025,$361.62,1823171,$361.00,$363.54,$358.85
10/31/2025,$360.73,2155948,$357.00,$361.99,$356.00
10/30/2025,$358.88,2045099,$358.59,$365.75,$357.96
10/29/2025,$358.22,1840946,$359.00,$362.00,$355.88
10/28/2025,$361.03,1417011,$361.22,$362.53,$359.44
10/27/2025,$361.67,2179926,$362.00,$362.84,$358.91
10/24/2025,$357.56,2397497,$358.40,$362.3199,$356.87
10/23/2025,$354.93,1892577,$352.72,$356.1799,$350.5498
10/22/2025,$352.00,2709961,$355.28,$357.7336,$349.18
10/21/2025,$355.22,2658399,$352.09,$356.6675,$350.79
10/20/2025,$349.48,3465425,$347.39,$350.22,$342.65
10/17/2025,$346.62,7025188,$332.38,$348.6999,$331.00
10/16/2025,$323.12,3267954,$331.02,$332.50,$320.00
10/15/2025,$330.66,2186415,$333.86,$336.92,$330.28
10/14/2025,$332.85,2810383,$321.61,$336.33,$320.50
10/13/2025,$323.12,1693074,$319.17,$324.3576,$319.06
10/10/2025,$316.26,2684714,$325.20,$328.10,$315.95
10/09/2025,$324.44,2095011,$326.48,$328.31,$324.05
10/08/2025,$323.82,2184682,$328.67,$329.15,$323.58
10/07/2025,$327.97,1709101,$332.65,$334.94,$325.74
10/06/2025,$331.99,2116299,$332.00,$334.00,$326.25
10/03/2025,$330.24,2404341,$332.00,$332.04,$328.719
10/02/2025,$330.48,1907642,$328.45,$331.98,$326.28
10/01/2025,$328.56,2598775,$331.00,$335.77,$328.40
09/30/2025,$332.16,3327304,$341.60,$342.96,$328.15
09/29/2025,$342.31,1658224,$343.76,$344.8482,$338.50
09/26/2025,$341.68,1728609,$341.45,$343.33,$339.02
09/25/2025,$340.18,2224029,$336.91,$340.77,$334.00
09/24/2025,$340.48,2279354,$342.97,$345.00,$338.5101
09/23/2025,$341.47,2697743,$341.94,$349.19,$340.0052
09/22/2025,$340.98,3327978,$339.51,$345.51,$338.38
09/19/2025,$341.12,8632044,$342.53,$344.36,$339.72
09/18/2025,$341.67,3203992,$338.50,$342.47,$335.00
09/17/2025,$336.00,3586466,$328.90,$337.50,$328.40
09/16/2025,$327.04,1987648,$327.80,$327.9858,$323.70
09/15/2025,$327.26,1646327,$326.05,$330.27,$326.00
09/12/2025,$325.31,2000445,$329.60,$329.60,$324.045
09/11/2025,$329.32,2826015,$323.50,$330.69,$322.42
09/10/2025,$323.35,1846772,$322.99,$324.65,$321.24
09/09/2025,$324.34,2056339,$322.79,$326.59,$320.80
09/08/2025,$325.41,2264524,$326.51,$327.45,$324.00
09/05/2025,$326.22,2971800,$330.69,$332.4648,$325.23
09/04/2025,$330.65,2485276,$325.00,$331.04,$322.82
09/03/2025,$323.71,3438964,$330.75,$332.07,$321.41
09/02/2025,$331.18,3225362,$326.66,$331.38,$322.71
08/29/2025,$331.28,2981403,$327.28,$332.06,$326.805
08/28/2025,$326.99,2195036,$323.99,$327.54,$322.0001
08/27/2025,$322.46,1970251,$319.92,$323.52,$319.505
08/26/2025,$320.60,1848552,$315.02,$320.79,$314.12
08/25/2025,$315.80,1599765,$319.06,$319.95,$315.41
08/22/2025,$319.16,2785178,$310.22,$321.71,$310.15
08/21/2025,$308.17,1848803,$306.785,$308.515,$304.0151
08/20/2025,$308.40,2481744,$305.73,$309.02,$303.865
08/19/2025,$306.10,2215818,$306.66,$308.5699,$304.5672
08/18/2025,$307.05,2115293,$304.27,$307.24,$302.79
08/15/2025,$305.47,2728029,$309.46,$309.81,$304.24
08/14/2025,$307.73,2108347,$305.54,$307.95,$302.51
08/13/2025,$306.87,2586820,$304.69,$307.60,$302.43
08/12/2025,$303.21,2170853,$298.90,$305.07,$298.475
08/11/2025,$296.23,2316801,$297.12,$297.4395,$294.89
