Date,Close/Last,Volume,Open,High,Low
11/06/2025,$196.46,18356900,$211.26,$211.26,$194.68
11/05/2025,$238.00,8126701,$241.51,$241.51,$234.79
11/04/2025,$239.93,4975876,$238.41,$244.17,$236.39
11/03/2025,$242.05,5147045,$255.89,$258.00,$241.00
10/31/2025,$254.37,2704321,$257.00,$260.7399,$254.10
10/30/2025,$254.07,3204453,$264.165,$265.455,$254.03
10/29/2025,$266.06,4231831,$261.29,$268.00,$259.11
10/28/2025,$261.42,2775452,$263.16,$265.59,$259.83
10/27/2025,$263.35,3706619,$265.40,$269.00,$262.35
10/24/2025,$258.15,2720037,$255.63,$261.675,$253.24
10/23/2025,$254.59,4772296,$251.00,$258.94,$246.72
10/22/2025,$252.31,4247910,$261.52,$262.83,$250.38
10/21/2025,$261.97,2029644,$266.62,$267.25,$259.86
10/20/2025,$265.37,2376178,$263.86,$267.20,$262.6902
10/17/2025,$263.06,3440346,$263.86,$265.38,$257.7142
10/16/2025,$266.67,3755928,$279.00,$285.50,$264.34
10/15/2025,$272.61,1920856,$272.59,$277.84,$271.39
10/14/2025,$270.54,1983434,$272.91,$275.55,$266.99
10/13/2025,$273.52,2253019,$269.01,$274.07,$268.5401
10/10/2025,$266.02,2434349,$274.39,$277.26,$265.70
10/09/2025,$275.44,2121580,$280.46,$282.32,$275.05
10/08/2025,$281.05,2390915,$277.73,$281.63,$277.44
10/07/2025,$276.78,2863354,$283.15,$285.08,$271.835
10/06/2025,$281.74,3905093,$274.53,$282.92,$273.68
10/03/2025,$271.22,2418042,$270.00,$272.44,$268.14
10/02/2025,$270.09,2168206,$268.90,$270.435,$260.1501
10/01/2025,$267.64,2500759,$269.50,$271.39,$265.20
09/30/2025,$271.99,3245283,$273.56,$275.51,$266.00
09/29/2025,$272.50,3546309,$267.67,$272.64,$267.00
09/26/2025,$262.47,1603356,$263.44,$264.20,$259.3629
09/25/2025,$262.08,1886474,$258.485,$263.76,$257.50
09/24/2025,$260.74,3148104,$266.16,$268.58,$259.705
09/23/2025,$265.75,2248823,$261.92,$267.77,$261.00
09/22/2025,$262.75,2952373,$264.52,$266.5599,$262.42
09/19/2025,$265.29,10684520,$268.58,$269.06,$264.00
09/18/2025,$268.07,3058745,$258.92,$268.29,$258.15
09/17/2025,$259.25,3197294,$263.07,$266.37,$253.86
09/16/2025,$263.09,2926557,$257.94,$263.43,$257.23
09/15/2025,$258.09,2592800,$257.77,$260.56,$256.29
09/12/2025,$257.98,2215994,$259.04,$261.43,$255.465
09/11/2025,$260.19,2357161,$258.82,$262.48,$258.22
09/10/2025,$257.43,4631284,$257.57,$258.80,$252.55
09/09/2025,$256.53,3042842,$252.09,$257.105,$249.78
09/08/2025,$250.60,3333615,$249.40,$254.96,$248.299
09/05/2025,$246.85,2195836,$249.715,$251.49,$243.55
09/04/2025,$248.78,2507142,$248.83,$250.70,$244.26
09/03/2025,$248.83,3541547,$244.045,$254.0999,$243.065
09/02/2025,$244.10,2684107,$240.89,$244.74,$238.20
08/29/2025,$245.25,1966843,$247.35,$248.814,$242.96
08/28/2025,$247.33,1858884,$245.82,$248.48,$244.14
08/27/2025,$245.65,2977293,$248.01,$248.42,$244.04
08/26/2025,$248.79,3104654,$245.56,$249.56,$244.90
08/25/2025,$245.28,2020114,$247.08,$247.51,$242.77
08/22/2025,$247.32,2812738,$245.00,$248.185,$242.8085
08/21/2025,$245.18,2439550,$243.47,$245.34,$241.959
08/20/2025,$243.82,6572920,$244.00,$246.42,$233.11
08/19/2025,$248.37,2568497,$250.53,$253.29,$248.10
08/18/2025,$253.34,3214646,$248.99,$254.16,$248.695
08/15/2025,$248.00,3085063,$248.31,$249.69,$243.56
08/14/2025,$247.44,3433584,$253.66,$253.66,$247.10
08/13/2025,$254.20,4379437,$263.50,$264.22,$250.21
08/12/2025,$264.32,2905221,$258.17,$264.51,$257.99
08/11/2025,$256.09,4738852,$258.19,$260.14,$251.13
08/08/2025,$259.19,5343269,$269.46,$270.07,$254.39
08/07/2025,$270.99,10884080,$272.64,$278.15,$259.1201
08/06/2025,$258.08,5425497,$257.24,$259.85,$254.39
08/05/2025,$255.28,3633218,$257.96,$259.87,$252.70
08/04/2025,$258.02,3351796,$251.47,$258.73,$248.78
08/01/2025,$248.35,2945721,$247.72,$249.2399,$242.01
07/31/2025,$250.25,2611999,$248.30,$252.87,$247.47
07/30/2025,$248.00,2629944,$244.79,$248.35,$244.45
07/29/2025,$243.20,2308492,$247.90,$248.01,$240.38
07/28/2025,$246.44,2134106,$250.00,$250.71,$244.02
07/25/2025,$249.92,3052424,$244.78,$250.23,$243.36
07/24/2025,$243.69,1918150,$240.49,$244.20,$240.34
07/23/2025,$240.56,2558632,$240.03,$241.57,$236.00
07/22/2025,$239.82,1725281,$240.33,$240.485,$234.45
07/21/2025,$240.53,2465200,$240.44,$242.655,$237.68
07/18/2025,$239.17,3408480,$235.715,$239.20,$233.50
07/17/2025,$235.02,3013134,$235.45,$236.055,$232.10
07/16/2025,$234.50,2614146,$236.94,$237.845,$233.92
07/15/2025,$236.77,3484561,$239.39,$239.57,$234.60
07/14/2025,$242.85,2600880,$240.15,$243.60,$238.79
07/11/2025,$240.44,2842994,$238.29,$241.96,$237.00
07/10/2025,$238.24,3253250,$245.61,$247.26,$237.76
07/09/2025,$246.06,2763624,$244.99,$246.39,$240.98
07/08/2025,$241.47,2888573,$247.47,$248.38,$238.70
07/07/2025,$246.89,5710030,$239.34,$246.94,$236.57
07/03/2025,$238.79,1699692,$239.41,$242.15,$237.83
07/02/2025,$238.80,3968307,$237.71,$242.2799,$236.70
07/01/2025,$238.01,5776945,$247.62,$248.74,$236.54
06/30/2025,$246.51,8089915,$244.30,$247.08,$241.9583
06/27/2025,$242.315,7324620,$239.705,$242.63,$235.68
06/26/2025,$239.64,3202390,$232.65,$239.8325,$231.75
06/25/2025,$232.68,3070348,$236.66,$238.47,$231.75
06/24/2025,$236.17,5602777,$231.75,$237.42,$231.39
06/23/2025,$230.32,5159763,$225.255,$230.87,$222.482
06/20/2025,$220.46,6879112,$222.00,$223.81,$219.82
06/18/2025,$220.58,5072177,$216.98,$221.31,$214.94
06/17/2025,$219.39,3157057,$221.29,$222.18,$218.24
06/16/2025,$221.73,3919973,$220.00,$223.29,$219.63
06/13/2025,$218.96,2955909,$214.19,$220.17,$213.00
06/12/2025,$216.60,2511292,$218.08,$219.42,$215.675
06/11/2025,$217.80,3091839,$214.185,$219.5299,$212.24
06/10/2025,$214.97,3916697,$216.59,$219.21,$210.9266
06/09/2025,$217.49,2710304,$218.03,$219.83,$216.955
06/06/2025,$218.45,2587018,$218.81,$220.88,$217.75
06/05/2025,$215.84,3647727,$219.37,$220.59,$213.85
06/04/2025,$220.23,5140447,$213.29,$220.64,$212.40
06/03/2025,$213.70,4272345,$213.43,$215.20,$211.30
06/02/2025,$212.79,4527633,$209.22,$213.40,$207.61
05/30/2025,$208.65,4853711,$204.10,$209.39,$202.70
05/29/2025,$204.58,3080832,$208.80,$209.20,$202.6827
05/28/2025,$206.59,6635010,$204.75,$210.71,$204.24
05/27/2025,$204.89,5325169,$205.44,$208.56,$202.5215
05/23/2025,$206.15,4365898,$197.615,$207.22,$197.25
05/22/2025,$200.87,3169735,$204.50,$206.535,$200.66
05/21/2025,$204.77,5674308,$202.49,$209.64,$201.50
05/20/2025,$205.18,6046526,$200.90,$206.00,$198.51
05/19/2025,$202.18,3337130,$198.775,$203.42,$198.75
05/16/2025,$202.00,4188463,$197.995,$202.63,$196.83
05/15/2025,$197.10,3558528,$195.58,$199.47,$194.96
05/14/2025,$196.84,3505346,$197.17,$199.27,$195.95
05/13/2025,$197.80,3844543,$192.09,$198.45,$191.78
05/12/2025,$192.10,4918097,$191.61,$192.8299,$185.9001
05/09/2025,$183.52,3423236,$183.19,$185.59,$180.58
05/08/2025,$182.96,4158763,$180.4607,$183.7525,$178.36
05/07/2025,$176.99,8627906,$189.76,$190.09,$175.50
05/06/2025,$190.11,9580786,$193.75,$195.415,$185.25
05/05/2025,$205.40,5617470,$203.215,$207.23,$201.05
05/02/2025,$205.09,4256469,$200.07,$205.89,$199.43
05/01/2025,$196.20,4151610,$194.405,$197.75,$192.6629
04/30/2025,$192.89,3169881,$186.19,$193.30,$183.755
04/29/2025,$191.23,2853494,$186.15,$191.8529,$185.85
04/28/2025,$187.88,3083900,$188.81,$190.69,$186.55
04/25/2025,$187.76,4515222,$187.22,$191.10,$183.20
04/24/2025,$187.22,3327899,$181.12,$187.60,$180.06
04/23/2025,$181.19,2589949,$183.36,$187.00,$180.44
04/22/2025,$176.61,3329038,$175.135,$179.00,$173.51
04/21/2025,$171.82,3666758,$178.23,$180.105,$168.95
04/17/2025,$181.24,2496124,$181.25,$182.89,$177.98
04/16/2025,$179.39,3806731,$177.41,$182.64,$176.60
04/15/2025,$181.55,2744984,$181.33,$185.69,$180.5101
04/14/2025,$181.85,3174882,$185.00,$186.1836,$179.415
04/11/2025,$180.49,3451712,$178.52,$180.7631,$173.81
04/10/2025,$178.52,4376118,$184.07,$184.84,$172.63
04/09/2025,$188.58,8136270,$164.39,$190.44,$164.375
04/08/2025,$165.75,4890545,$173.385,$176.275,$163.30
04/07/2025,$166.30,7716263,$156.13,$175.99,$155.40
04/04/2025,$163.16,6515506,$165.65,$170.225,$162.56
04/03/2025,$173.99,7251909,$179.50,$182.12,$173.35
04/02/2025,$189.25,5384750,$180.11,$192.69,$179.49
04/01/2025,$182.42,3741082,$182.05,$183.015,$178.2601
03/31/2025,$182.77,6074812,$178.01,$183.26,$173.87
03/28/2025,$182.61,4557188,$193.80,$193.80,$182.07
03/27/2025,$194.02,4410411,$192.12,$195.35,$189.65
03/26/2025,$192.87,3855347,$199.24,$199.67,$191.46
03/25/2025,$199.72,4524150,$199.00,$201.03,$196.85
03/24/2025,$198.98,7042177,$192.81,$199.56,$188.5801
03/21/2025,$190.62,73637390,$190.72,$194.40,$187.1967
03/20/2025,$192.93,5600833,$188.07,$195.21,$187.865
03/19/2025,$190.66,6218538,$186.00,$192.67,$185.195
03/18/2025,$185.21,5747731,$188.03,$188.56,$180.57
03/17/2025,$189.86,7357565,$183.00,$191.72,$182.98
03/14/2025,$183.50,6090118,$180.55,$186.2081,$180.55
03/13/2025,$178.29,7341294,$188.425,$189.265,$178.07
03/12/2025,$187.70,9817035,$187.765,$189.97,$180.28
03/11/2025,$183.73,9128312,$176.31,$185.81,$175.95
03/10/2025,$177.86,15743460,$182.49,$182.91,$169.87
03/07/2025,$178.08,7987440,$179.17,$182.96,$169.43
03/06/2025,$180.11,5086724,$190.62,$192.52,$178.65
03/05/2025,$195.08,2789603,$193.52,$195.94,$191.02
03/04/2025,$193.41,5159259,$196.62,$197.47,$187.0189
03/03/2025,$198.10,4440819,$199.89,$205.00,$196.25
02/28/2025,$198.44,7875475,$196.00,$199.63,$193.17
02/27/2025,$195.84,3622814,$200.23,$203.04,$195.04
02/26/2025,$198.60,4484703,$194.15,$202.67,$192.00
02/25/2025,$191.27,4077406,$194.94,$196.24,$186.88
02/24/2025,$195.87,3367437,$200.74,$201.18,$193.39
02/21/2025,$199.94,4096771,$202.50,$206.53,$198.70
02/20/2025,$202.25,7023417,$210.53,$211.295,$199.49
02/19/2025,$213.24,3243037,$212.09,$214.11,$207.81
02/18/2025,$211.97,3968961,$213.09,$215.245,$209.57
02/14/2025,$213.38,6885016,$205.74,$214.64,$204.865
02/13/2025,$205.64,5576610,$200.89,$205.999,$195.62
02/12/2025,$200.89,9989379,$198.00,$201.17,$195.1975
02/11/2025,$193.09,6771888,$190.92,$194.00,$189.50
02/10/2025,$192.63,4925241,$198.69,$198.69,$192.39
02/07/2025,$195.54,2999415,$197.14,$199.17,$195.20
02/06/2025,$196.45,1802774,$195.83,$196.98,$194.4001
02/05/2025,$195.99,1992050,$193.10,$196.03,$190.84
02/04/2025,$194.57,2563042,$190.84,$194.70,$190.58
02/03/2025,$190.80,4234329,$186.64,$192.78,$185.00
01/31/2025,$188.83,2136037,$188.57,$189.99,$187.30
01/30/2025,$188.57,2090792,$187.425,$189.2307,$186.26
01/29/2025,$185.78,2412143,$184.91,$186.785,$184.01
01/28/2025,$184.49,2638698,$182.48,$185.38,$178.26
01/27/2025,$182.48,2815730,$178.43,$183.18,$176.11
01/24/2025,$183.32,2905958,$183.458,$184.26,$181.82
01/23/2025,$183.13,2784763,$178.05,$183.48,$175.55
01/22/2025,$177.68,2231701,$179.67,$180.00,$177.36
01/21/2025,$178.10,3148479,$176.09,$178.55,$174.44
01/17/2025,$174.48,3654075,$174.37,$174.71,$172.52
01/16/2025,$170.85,2008330,$171.43,$172.75,$169.33
01/15/2025,$171.19,3129279,$173.00,$173.94,$170.45
01/14/2025,$169.33,2262155,$170.68,$171.90,$167.55
01/13/2025,$168.37,1863786,$169.65,$169.93,$166.41
01/10/2025,$170.12,2716793,$171.90,$172.145,$167.82
01/08/2025,$173.72,2189421,$171.20,$174.53,$169.86
01/07/2025,$170.00,2642875,$175.95,$175.988,$168.90
01/06/2025,$175.02,2821599,$175.00,$175.36,$172.4575
01/03/2025,$174.96,1926351,$172.60,$175.00,$171.905
01/02/2025,$170.65,2314342,$168.79,$172.22,$168.03
12/31/2024,$167.75,1241521,$169.62,$170.08,$167.27
12/30/2024,$169.60,1480572,$166.67,$170.34,$165.46
12/27/2024,$169.34,1585597,$169.20,$169.984,$166.4347
12/26/2024,$170.57,886558,$171.30,$172.59,$170.50
12/24/2024,$171.81,634425,$169.47,$171.94,$169.47
12/23/2024,$169.94,2534036,$171.54,$171.68,$168.53
12/20/2024,$171.00,5888039,$165.92,$172.03,$164.865
12/19/2024,$167.65,2965198,$167.30,$168.995,$166.15
12/18/2024,$165.39,4679573,$177.17,$177.435,$164.20
12/17/2024,$177.00,2814890,$178.95,$181.7799,$176.79
12/16/2024,$179.50,2337923,$176.90,$179.75,$175.04
12/13/2024,$175.09,2305444,$175.30,$175.86,$173.69
12/12/2024,$176.02,2380240,$175.50,$178.50,$175.50
12/11/2024,$176.41,3063449,$176.57,$177.51,$173.41
12/10/2024,$173.90,3516362,$175.49,$179.56,$171.27
12/09/2024,$175.64,2349329,$176.96,$177.79,$174.145
12/06/2024,$178.48,1951159,$177.23,$179.22,$176.13
12/05/2024,$175.89,1985333,$176.28,$179.00,$175.70
12/04/2024,$176.88,2490092,$177.00,$178.45,$175.48
12/03/2024,$176.09,1886919,$177.00,$177.5653,$175.18
12/02/2024,$176.37,2786939,$179.99,$180.31,$175.84
11/29/2024,$180.48,1619282,$179.42,$180.70,$177.18
11/27/2024,$178.44,2031247,$179.99,$180.18,$177.70
11/26/2024,$179.01,2741007,$180.00,$181.30,$178.10
11/25/2024,$179.10,4895971,$178.82,$179.13,$173.91
11/22/2024,$177.24,3507295,$173.11,$177.56,$173.00
11/21/2024,$173.17,2278049,$172.50,$173.965,$170.09
11/20/2024,$172.20,4731915,$175.77,$176.00,$167.88
11/19/2024,$176.18,2932247,$171.82,$176.65,$171.20
11/18/2024,$172.73,2892043,$169.78,$174.56,$168.75
11/15/2024,$169.43,3602035,$173.51,$173.51,$169.10
11/14/2024,$173.80,2137089,$174.68,$176.78,$173.2501
11/13/2024,$175.76,2186790,$176.505,$178.16,$174.82
11/12/2024,$176.49,2734770,$174.90,$177.30,$173.58
11/11/2024,$174.95,3962702,$171.40,$175.23,$170.51
11/08/2024,$171.40,2320838,$170.40,$172.18,$169.57
11/07/2024,$170.59,3199721,$169.13,$171.20,$167.64
