Date,Close/Last,Volume,Open,High,Low
11/06/2025,$285.34,23103780,$285.735,$288.81,$281.62
11/05/2025,$284.75,20063220,$279.38,$286.70,$277.88
11/04/2025,$278.06,18123710,$277.065,$281.8336,$276.865
11/03/2025,$284.12,19691750,$282.42,$285.94,$280.3701
10/31/2025,$281.82,29932810,$283.205,$286.285,$277.523
10/30/2025,$281.90,48570030,$291.72,$291.93,$280.45
10/29/2025,$275.17,26287850,$268.61,$275.97,$268.43
10/28/2025,$268.43,20101160,$270.20,$271.38,$267.17
10/27/2025,$269.93,22987660,$265.36,$270.80,$264.94
10/24/2025,$260.51,18405970,$257.30,$262.51,$256.10
10/23/2025,$253.73,13241320,$253.70,$255.86,$252.7683
10/22/2025,$252.53,19650240,$255.01,$257.18,$250.451
10/21/2025,$251.34,27836430,$255.25,$255.38,$244.67
10/20/2025,$257.02,13726830,$255.23,$257.88,$254.60
10/17/2025,$253.79,17653830,$251.35,$254.88,$248.59
10/16/2025,$251.88,18945990,$252.465,$257.58,$250.67
10/15/2025,$251.71,16048090,$248.085,$252.76,$246.79
10/14/2025,$246.19,17705370,$241.755,$248.025,$241.1775
10/13/2025,$244.64,12464970,$241.03,$244.99,$240.75
10/10/2025,$237.49,22449080,$242.16,$244.84,$236.685
10/09/2025,$242.21,19375720,$245.06,$245.555,$239.6801
10/08/2025,$245.46,14136490,$246.20,$247.26,$245.09
10/07/2025,$247.13,13811170,$248.93,$251.55,$246.81
10/06/2025,$251.51,18309030,$245.78,$252.20,$245.69
10/03/2025,$246.45,19941380,$245.23,$247.1177,$242.47
10/02/2025,$246.43,20657520,$245.64,$247.635,$243.105
10/01/2025,$245.54,23967660,$241.18,$247.15,$239.20
09/30/2025,$243.55,22541190,$243.06,$243.675,$239.5707
09/29/2025,$244.36,23157250,$248.275,$251.6483,$243.20
09/26/2025,$247.18,16594610,$247.785,$250.12,$246.64
09/25/2025,$246.57,17379790,$244.84,$247.315,$241.65
09/24/2025,$247.83,16958510,$252.15,$252.96,$247.22
09/23/2025,$252.34,17521090,$253.655,$254.77,$251.09
09/22/2025,$252.88,20078980,$254.78,$256.31,$250.81
09/19/2025,$255.24,41616840,$253.40,$256.70,$252.0675
09/18/2025,$252.33,21166360,$251.86,$254.14,$250.11
09/17/2025,$249.85,20491320,$251.46,$251.95,$246.58
09/16/2025,$251.42,24493510,$252.33,$253.23,$249.715
09/15/2025,$251.76,29935150,$245.14,$252.7499,$244.98
09/12/2025,$241.38,14536590,$240.80,$242.4227,$238.50
09/11/2025,$240.78,21308610,$240.14,$242.57,$236.58
09/10/2025,$239.56,19990140,$239.25,$242.08,$238.11
09/09/2025,$239.94,22854790,$234.19,$240.59,$233.38
09/08/2025,$234.16,23128800,$235.79,$238.40,$233.73
09/05/2025,$235.17,26127740,$232.66,$236.1299,$232.38
09/04/2025,$232.66,32196010,$230.155,$232.77,$226.76
09/03/2025,$231.10,72250270,$226.48,$231.80,$225.12
09/02/2025,$211.99,28900070,$208.99,$212.369,$206.96
08/29/2025,$213.53,24682220,$211.27,$215.34,$210.97
08/28/2025,$212.37,20915710,$207.84,$212.90,$207.60
08/27/2025,$208.21,15248980,$206.46,$209.57,$206.39
08/26/2025,$207.95,23050970,$208.37,$208.46,$206.4501
08/25/2025,$209.16,22788810,$207.00,$211.09,$205.95
08/22/2025,$206.72,25723730,$203.96,$209.23,$202.13
08/21/2025,$200.62,11768910,$200.72,$203.36,$200.40
08/20/2025,$200.19,13971690,$201.68,$202.17,$197.46
