Date,Close/Last,Volume,Open,High,Low
11/06/2025,$298.41,3544869,$304.26,$306.41,$297.51
11/05/2025,$305.67,6070334,$299.555,$310.17,$299.21
11/04/2025,$299.21,4151259,$298.21,$299.75,$296.42
11/03/2025,$296.37,3899313,$297.67,$297.92,$294.435
10/31/2025,$298.43,3582719,$300.00,$300.71,$297.00
10/30/2025,$302.43,3128398,$300.50,$304.39,$300.1042
10/29/2025,$302.35,2502261,$304.70,$304.78,$301.215
10/28/2025,$306.40,2336495,$308.54,$310.58,$306.325
10/27/2025,$310.00,2139674,$305.90,$310.09,$305.34
10/24/2025,$305.79,1994545,$307.63,$307.70,$305.0152
10/23/2025,$306.97,2081527,$311.97,$311.97,$306.22
10/22/2025,$310.11,2735723,$308.22,$312.79,$307.145
10/21/2025,$307.48,2461407,$308.55,$308.55,$306.39
10/20/2025,$307.77,2329755,$307.95,$308.6999,$305.84
10/17/2025,$308.09,2194185,$306.80,$308.33,$306.3075
10/16/2025,$305.33,2021608,$305.79,$307.28,$304.715
10/15/2025,$305.25,2522103,$303.63,$309.10,$303.63
10/14/2025,$304.56,2992849,$300.16,$305.52,$300.1101
10/13/2025,$300.11,3369584,$294.60,$300.42,$294.00
10/10/2025,$297.01,4016226,$294.70,$297.9483,$292.89
10/09/2025,$293.81,2802739,$293.65,$295.12,$292.04
10/08/2025,$294.40,2464566,$296.38,$296.66,$293.43
10/07/2025,$296.32,2516057,$295.00,$298.065,$294.1337
10/06/2025,$296.04,3814151,$299.04,$299.645,$294.91
10/03/2025,$300.98,2599053,$298.90,$301.39,$298.663
10/02/2025,$299.88,2690402,$299.60,$302.38,$298.95
10/01/2025,$300.52,3055347,$303.26,$304.77,$298.30
09/30/2025,$303.89,2640436,$302.75,$304.48,$302.00
09/29/2025,$302.99,3073835,$305.88,$306.105,$301.85
09/26/2025,$305.24,2284795,$303.37,$305.78,$302.01
09/25/2025,$302.30,2558353,$305.88,$306.33,$301.95
09/24/2025,$304.33,2427617,$302.49,$305.98,$302.01
09/23/2025,$303.19,2976905,$303.74,$304.45,$300.315
09/22/2025,$302.99,3657877,$302.32,$304.25,$300.42
09/19/2025,$302.38,5696853,$301.70,$304.80,$300.75
09/18/2025,$301.14,4654057,$301.47,$302.6886,$297.88
09/17/2025,$304.97,2681606,$304.90,$306.58,$303.91
09/16/2025,$303.29,3578515,$303.50,$305.9999,$302.70
09/15/2025,$302.07,3584545,$305.14,$305.71,$300.5114
09/12/2025,$305.40,2072848,$307.62,$308.5099,$305.25
09/11/2025,$308.43,2761496,$306.23,$308.94,$305.25
09/10/2025,$305.94,3479927,$312.09,$312.09,$304.61
09/09/2025,$312.52,2310842,$311.21,$313.70,$310.725
09/08/2025,$312.80,2873797,$312.82,$313.08,$309.76
09/05/2025,$314.38,2533259,$317.365,$318.04,$313.27
09/04/2025,$316.99,2881528,$317.82,$319.425,$316.48
09/03/2025,$316.39,3219733,$315.02,$316.87,$312.98
09/02/2025,$315.76,3228651,$313.05,$316.13,$312.325
08/29/2025,$313.54,2492471,$312.23,$313.90,$311.43
08/28/2025,$312.22,3471683,$311.12,$312.52,$309.3473
08/27/2025,$311.43,3234836,$313.36,$315.72,$311.34
08/26/2025,$312.94,2807730,$313.43,$315.12,$312.30
08/25/2025,$313.44,2944405,$313.73,$315.55,$311.95
08/22/2025,$314.07,2796930,$314.63,$316.80,$313.155
08/21/2025,$313.22,2282444,$311.87,$313.595,$311.17
08/20/2025,$313.08,3880218,$313.67,$316.155,$312.3875
