Date,Close/Last,Volume,Open,High,Low
11/06/2025,$183.64,4918877,$195.985,$196.7023,$182.74
11/05/2025,$196.27,5074567,$187.78,$199.30,$186.3601
11/04/2025,$187.77,8202421,$199.19,$199.69,$187.40
11/03/2025,$204.98,8198719,$211.06,$214.25,$199.1125
10/31/2025,$208.95,17708310,$219.20,$230.97,$208.41
10/30/2025,$194.42,12953270,$209.41,$209.4702,$193.81
10/29/2025,$210.77,4374596,$211.27,$214.13,$204.7501
10/28/2025,$212.97,4564973,$222.22,$222.22,$212.75
10/27/2025,$219.24,4888247,$219.70,$224.75,$216.5417
10/24/2025,$214.20,6280385,$206.02,$215.94,$205.1213
10/23/2025,$200.82,2798175,$201.00,$205.32,$200.37
10/22/2025,$197.05,5863525,$204.03,$205.00,$191.28
10/21/2025,$205.71,4186027,$207.52,$208.00,$203.01
10/20/2025,$202.48,6314955,$201.00,$211.11,$200.65
10/17/2025,$194.95,4531453,$195.16,$200.5999,$189.02
10/16/2025,$198.97,3036135,$202.54,$203.88,$196.00
10/15/2025,$200.76,2697387,$201.36,$203.8638,$196.80
10/14/2025,$196.35,3826450,$199.925,$205.52,$194.77
10/13/2025,$203.68,2942264,$201.89,$204.7085,$197.85
10/10/2025,$198.55,5568990,$214.40,$214.40,$198.00
10/09/2025,$211.70,5196443,$203.25,$212.34,$199.38
10/08/2025,$202.29,6644149,$206.225,$206.225,$195.01
10/07/2025,$205.92,3706730,$206.24,$209.7364,$202.5071
10/06/2025,$203.63,4985092,$207.30,$211.15,$198.87
10/03/2025,$207.20,8463205,$212.02,$213.38,$205.41
10/02/2025,$200.92,7759210,$206.85,$209.00,$198.80
10/01/2025,$202.60,15773950,$213.00,$218.319,$202.26
09/30/2025,$229.99,4885384,$240.335,$240.99,$225.09
09/29/2025,$241.98,3784584,$244.804,$246.43,$239.30
09/26/2025,$240.11,3280330,$234.08,$240.61,$231.2379
09/25/2025,$232.75,4646075,$228.15,$236.52,$223.50
09/24/2025,$235.69,4821560,$241.51,$244.00,$234.89
09/23/2025,$237.45,8042236,$255.575,$255.78,$235.85
09/22/2025,$257.56,5281151,$257.45,$262.99,$253.34
09/19/2025,$264.48,11586080,$270.50,$271.99,$251.50
09/18/2025,$270.71,6843943,$271.99,$282.95,$269.92
09/17/2025,$266.47,10028730,$263.10,$270.36,$249.22
09/16/2025,$266.66,3671286,$265.075,$268.15,$260.50
09/15/2025,$263.64,4584343,$256.66,$265.54,$255.42
09/12/2025,$254.29,3683657,$262.22,$266.15,$251.19
09/11/2025,$260.54,3726896,$260.57,$266.6395,$257.45
09/10/2025,$259.03,7445754,$245.14,$261.1273,$244.845
09/09/2025,$240.20,3655873,$235.35,$240.30,$232.05
09/08/2025,$229.98,5949183,$245.09,$246.99,$229.86
09/05/2025,$240.00,5567611,$234.00,$241.18,$230.24
09/04/2025,$232.11,4269990,$225.00,$234.38,$223.50
09/03/2025,$223.14,8426761,$226.28,$239.37,$218.70
09/02/2025,$220.06,4639979,$219.98,$223.44,$213.15
08/29/2025,$225.08,3922315,$225.54,$227.90,$219.62
08/28/2025,$225.54,5146994,$212.80,$227.00,$212.40
08/27/2025,$211.10,4906088,$220.97,$226.6688,$208.24
08/26/2025,$219.43,5316164,$218.84,$220.50,$214.99
08/25/2025,$219.73,4580555,$214.27,$222.47,$212.57
08/22/2025,$217.31,7640575,$215.00,$230.25,$214.10
08/21/2025,$218.65,4002415,$217.44,$221.73,$215.10
08/20/2025,$218.37,13073430,$221.50,$225.0318,$205.374
08/19/2025,$228.18,8655674,$238.22,$238.84,$225.5001
08/18/2025,$241.76,6933845,$245.63,$253.14,$237.54
08/15/2025,$246.50,6434008,$242.575,$248.015,$235.79
08/14/2025,$243.47,7579693,$229.955,$244.85,$229.955
08/13/2025,$234.77,7466951,$225.92,$237.3531,$224.30
08/12/2025,$224.02,4803252,$221.175,$229.4469,$220.69
08/11/2025,$220.75,5563370,$215.23,$225.35,$211.8001
08/08/2025,$215.44,4726955,$211.85,$219.00,$208.85
08/07/2025,$211.82,6074456,$215.745,$217.30,$205.72
08/06/2025,$212.81,8279389,$199.01,$212.98,$198.75
08/05/2025,$199.09,10585060,$198.67,$208.68,$197.51
08/04/2025,$201.76,15113310,$191.70,$203.73,$188.98
08/01/2025,$188.64,27258290,$182.00,$196.6799,$177.77
07/31/2025,$160.59,19988940,$160.88,$162.88,$154.83
07/30/2025,$149.33,5280716,$145.72,$150.38,$144.085
07/29/2025,$144.85,6464107,$151.55,$152.00,$141.60
07/28/2025,$151.60,4008671,$150.84,$153.20,$147.55
07/25/2025,$149.66,4505610,$149.94,$152.78,$147.90
07/24/2025,$148.13,5460455,$147.85,$150.75,$142.90
07/23/2025,$146.10,5664369,$147.97,$152.25,$144.3202
07/22/2025,$145.80,5183121,$145.40,$147.80,$138.60
07/21/2025,$146.29,5134872,$145.02,$149.7288,$144.41
07/18/2025,$148.24,6405912,$142.51,$149.09,$138.11
07/17/2025,$142.52,4454730,$144.30,$147.05,$140.89
07/16/2025,$144.31,5853169,$144.95,$146.19,$138.30
07/15/2025,$144.80,4426493,$147.29,$148.05,$142.90
07/14/2025,$146.38,4438737,$146.00,$150.39,$145.30
07/11/2025,$145.59,3686176,$141.64,$147.40,$141.30
07/10/2025,$143.00,3941435,$148.73,$148.80,$141.28
07/09/2025,$145.65,4609569,$147.31,$147.95,$141.30
07/08/2025,$145.96,7055549,$155.20,$155.85,$145.20
07/07/2025,$153.37,6308084,$154.95,$155.39,$149.56
07/03/2025,$157.03,4041162,$159.00,$160.99,$155.40
07/02/2025,$159.34,11005410,$152.00,$164.55,$151.80
07/01/2025,$152.23,8713533,$151.82,$156.37,$146.55
06/30/2025,$150.57,9904695,$148.08,$155.00,$146.78
06/27/2025,$143.01,17684840,$143.51,$145.50,$139.26
06/26/2025,$143.95,6587070,$145.10,$147.00,$140.75
06/25/2025,$141.68,9090189,$150.91,$153.94,$141.44
06/24/2025,$140.79,6547750,$136.35,$143.77,$136.03
06/23/2025,$134.14,7057617,$135.77,$141.67,$133.28
06/20/2025,$139.15,8787293,$141.51,$147.999,$138.098
06/18/2025,$141.16,12180680,$132.32,$143.89,$132.25
06/17/2025,$133.84,23521810,$133.65,$146.164,$132.41
06/16/2025,$126.20,8405053,$121.425,$126.59,$121.425
06/13/2025,$118.18,6509246,$112.30,$120.30,$112.30
06/12/2025,$116.20,4824351,$113.02,$118.12,$110.85
06/11/2025,$115.03,5988200,$117.40,$120.6215,$114.45
06/10/2025,$117.09,5631152,$116.20,$119.15,$115.26
06/09/2025,$117.53,5636117,$119.65,$121.98,$116.3801
06/06/2025,$121.29,6773380,$113.63,$121.29,$112.77
06/05/2025,$112.24,6231754,$118.76,$119.23,$111.8499
06/04/2025,$118.21,8683435,$110.87,$119.69,$110.87
06/03/2025,$110.86,5462482,$112.46,$115.3872,$109.92
06/02/2025,$112.11,4539438,$109.16,$113.66,$109.16
05/30/2025,$112.35,7555536,$107.31,$112.62,$106.3402
05/29/2025,$109.03,10701350,$108.19,$113.7999,$107.594
05/28/2025,$105.43,5399868,$104.94,$106.7068,$103.09
05/27/2025,$104.62,6944411,$103.00,$104.9111,$99.1401
05/23/2025,$100.76,6753505,$95.83,$102.265,$95.23
05/22/2025,$98.32,8522905,$97.29,$100.4491,$95.6972
05/21/2025,$95.85,17448230,$103.09,$103.50,$94.89
