Date,Close/Last,Volume,Open,High,Low
11/06/2025,$101.68,14866030,$101.34,$101.93,$100.03
11/05/2025,$101.47,13356820,$101.74,$102.675,$100.85
11/04/2025,$102.27,12636350,$102.13,$102.62,$101.46
11/03/2025,$101.59,14811690,$100.815,$101.80,$100.40
10/31/2025,$101.18,20237020,$101.70,$102.095,$100.18
10/30/2025,$102.23,14065080,$102.20,$103.37,$101.96
10/29/2025,$102.46,11986410,$102.905,$103.67,$102.11
10/28/2025,$103.17,13322990,$104.06,$104.14,$103.05
10/27/2025,$104.47,16375860,$106.34,$106.36,$104.15
10/24/2025,$106.17,10317960,$107.07,$107.165,$105.51
10/23/2025,$106.86,11408240,$107.35,$107.57,$105.78
10/22/2025,$107.14,12296490,$106.55,$107.765,$105.655
10/21/2025,$106.22,10899730,$107.33,$107.48,$106.18
10/20/2025,$107.05,10581220,$107.85,$108.25,$106.61
10/17/2025,$107.73,13735590,$107.17,$108.20,$106.22
10/16/2025,$106.47,16366170,$109.20,$109.575,$105.66
10/15/2025,$109.03,21416290,$107.32,$109.555,$107.30
10/14/2025,$107.21,30859500,$104.05,$107.92,$102.8921
10/13/2025,$102.12,10871180,$101.37,$102.45,$101.07
10/10/2025,$101.84,18519440,$102.05,$103.6291,$101.52
10/09/2025,$101.77,19508020,$103.13,$103.45,$100.37
10/08/2025,$102.90,13584080,$103.02,$103.26,$102.15
10/07/2025,$103.24,15538860,$102.38,$103.25,$100.95
10/06/2025,$102.70,13303560,$101.88,$103.065,$101.58
10/03/2025,$102.07,11867480,$101.46,$102.815,$101.20
10/02/2025,$101.70,15605360,$101.45,$102.135,$99.87
10/01/2025,$101.96,16142770,$102.56,$102.86,$100.55
09/30/2025,$103.06,13873390,$103.00,$103.935,$102.72
09/29/2025,$103.08,15477160,$103.05,$103.31,$102.075
09/26/2025,$103.16,11859270,$102.875,$103.49,$102.47
09/25/2025,$103.05,13366750,$103.215,$103.51,$102.58
09/24/2025,$102.73,11391830,$103.04,$103.47,$102.475
09/23/2025,$102.52,13158660,$102.41,$102.68,$101.33
09/22/2025,$102.82,12861950,$102.45,$103.20,$101.9211
09/19/2025,$102.33,34791570,$103.81,$103.94,$102.09
09/18/2025,$103.60,14869390,$103.78,$104.635,$102.12
09/17/2025,$104.27,25382020,$103.73,$106.11,$103.73
09/16/2025,$103.42,14481860,$103.85,$104.21,$103.13
09/15/2025,$103.69,10756880,$103.65,$103.98,$103.405
09/12/2025,$103.49,11641930,$102.535,$103.975,$102.36
09/11/2025,$102.65,15900790,$100.99,$102.775,$100.28
09/10/2025,$100.41,17934870,$101.95,$102.4499,$100.39
