Date,Close/Last,Volume,Open,High,Low
11/06/2025,$114.50,14219650,$113.64,$114.935,$113.64
11/05/2025,$113.68,12400920,$114.09,$115.18,$113.67
11/04/2025,$114.14,16860740,$113.38,$114.3501,$112.51
11/03/2025,$113.76,12290300,$114.50,$114.99,$113.64
10/31/2025,$114.36,20213350,$113.975,$115.225,$112.6225
10/30/2025,$114.69,16172940,$116.425,$116.52,$114.53
10/29/2025,$116.45,12570570,$114.92,$117.05,$114.81
10/28/2025,$115.03,9535211,$115.49,$116.18,$114.99
10/27/2025,$115.94,10975410,$115.695,$115.985,$115.10
10/24/2025,$115.39,9919409,$116.35,$116.47,$115.18
10/23/2025,$115.98,15001090,$116.63,$116.85,$115.36
10/22/2025,$114.71,12938790,$113.45,$115.18,$113.08
10/21/2025,$112.71,9202349,$112.89,$113.3601,$111.99
10/20/2025,$112.70,9523617,$112.00,$113.15,$111.98
10/17/2025,$112.24,13460070,$111.63,$112.91,$111.18
10/16/2025,$110.64,11782200,$111.88,$112.19,$110.385
10/15/2025,$111.61,12182940,$112.80,$113.57,$110.97
10/14/2025,$112.29,11167150,$110.755,$112.962,$110.71
10/13/2025,$112.24,10296500,$111.54,$112.30,$111.315
10/10/2025,$110.73,13811580,$112.255,$112.62,$110.71
10/09/2025,$112.91,10976220,$114.425,$115.51,$112.735
10/08/2025,$114.02,12300970,$114.38,$115.01,$113.41
10/07/2025,$114.26,11945030,$114.07,$114.51,$111.74
10/06/2025,$114.20,12036830,$113.29,$114.77,$113.18
10/03/2025,$113.26,12950120,$111.90,$113.745,$111.90
10/02/2025,$111.29,13062560,$111.97,$113.09,$111.025
10/01/2025,$111.99,16613990,$112.56,$113.02,$111.2925
09/30/2025,$112.75,18076210,$113.35,$113.49,$111.9393
09/29/2025,$114.22,19189260,$116.06,$116.50,$113.665
09/26/2025,$117.22,18568920,$115.96,$118.36,$115.92
09/25/2025,$115.59,15012550,$114.64,$115.8999,$114.41
09/24/2025,$114.56,14756050,$114.57,$115.76,$114.47
09/23/2025,$113.95,25369110,$112.72,$114.7488,$112.475
09/22/2025,$112.02,15611500,$112.45,$112.80,$111.56
09/19/2025,$112.82,38746520,$113.90,$113.98,$112.64
09/18/2025,$113.93,14628730,$115.17,$115.35,$113.40
